cohort_id,event_description,event_id,event_start_date,day_name,event_start_time,event_end_date,event_end_time,crsid,location_description,event_type,timetable_module
a,Course A,12503,19/10/2016,,12:00:00,19/10/2016,13:00:00,jae1001,Physiology,Lecture,Lectures
a,Course A,12502,17/10/2016,,12:00:00,17/10/2016,13:00:00,jae1001,Physiology,Lecture,Lectures
a,Course A,12501,14/10/2016,,12:00:00,14/10/2016,13:00:00,jae1001,Physiology,Lecture,Lectures
a,Course A,12500,12/10/2016,,12:00:00,12/10/2016,13:00:00,jae1001,Physiology,Lecture,Lectures
a,Course A,12499,10/10/2016,,12:00:00,10/10/2016,13:00:00,jae1001,Physiology,Lecture,Lectures
a,Course A,12498,07/10/2016,,12:00:00,07/10/2016,13:00:00,jae1001,Physiology,Lecture,Lectures
a,Course B,12511,07/11/2016,,12:00:00,07/11/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12510,04/11/2016,,12:00:00,04/11/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12509,02/11/2016,,12:00:00,02/11/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12508,31/10/2016,,12:00:00,31/10/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12507,28/10/2016,,12:00:00,28/10/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12506,26/10/2016,,12:00:00,26/10/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12505,24/10/2016,,12:00:00,24/10/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12515,16/11/2016,,12:00:00,16/11/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12504,21/10/2016,,12:00:00,21/10/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12514,14/11/2016,,12:00:00,14/11/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12513,11/11/2016,,12:00:00,11/11/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course B,12512,09/11/2016,,12:00:00,09/11/2016,13:00:00,zb10,Physiology,Lecture,Lectures
a,Course C,12521,30/11/2016,,12:00:00,30/11/2016,13:00:00,nar20,Physiology,Lecture,Lectures
a,Course C,12520,28/11/2016,,12:00:00,28/11/2016,13:00:00,nar20,Physiology,Lecture,Lectures
a,Course C,12519,25/11/2016,,12:00:00,25/11/2016,13:00:00,nar20,Physiology,Lecture,Lectures
a,Course C,12518,23/11/2016,,12:00:00,23/11/2016,13:00:00,nar20,Physiology,Lecture,Lectures
