cohort_id,event_description,event_id,event_start_date,day_name,event_start_time,event_end_date,event_end_time,crsid,location_description,event_type,timetable_module
b,Course A,12447,18/10/2016,,10:00:00,18/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12446,15/10/2016,,10:00:00,15/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12445,13/10/2016,,10:00:00,13/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12444,11/10/16,,10:00:00,11/10/16,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12443,8/10/16,,10:00:00,8/10/16,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12453,1/11/16,,10:00:00,1/11/16,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12442,6/10/16,,10:00:00,6/10/16,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12452,29/10/2016,,10:00:00,29/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12451,27/10/2016,,10:00:00,27/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12450,25/10/2016,,10:00:00,25/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12449,22/10/2016,,10:00:00,22/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course A,12448,20/10/2016,,10:00:00,20/10/2016,11:00:00,erw1,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12456,8/11/16,,10:00:00,8/11/16,11:00:00,ase25,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12461,19/11/2016,,10:00:00,19/11/2016,11:00:00,sk568,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12455,5/11/16,,10:00:00,5/11/16,11:00:00,ase25,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12454,3/11/16,,10:00:00,3/11/16,11:00:00,ase25,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12460,17/11/2016,,10:00:00,17/11/2016,11:00:00,ase25,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12465,29/11/2016,,10:00:00,29/11/2016,11:00:00,sk568,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12459,15/11/2016,,10:00:00,15/11/2016,11:00:00,ase25,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12464,26/11/2016,,10:00:00,26/11/2016,11:00:00,sk568,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12458,12/11/16,,10:00:00,12/11/16,11:00:00,ase25,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12463,24/11/2016,,10:00:00,24/11/2016,11:00:00,sk568,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12457,10/11/16,,10:00:00,10/11/16,11:00:00,ase25,Wolfson LT (Chemistry),Lecture,Lectures
b,Course B,12462,10/11/16,,10:00:00,22/11/2016,11:00:00,sk568,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12467,21/01/2017,,10:00:00,21/01/2017,11:00:00,nar20;jgh27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12474,7/2/17,,10:00:00,7/2/17,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12466,19/01/2017,,10:00:00,19/01/2017,11:00:00,nar20;jgh27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12473,4/2/17,,10:00:00,4/2/17,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12472,2/2/17,,10:00:00,2/2/17,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12471,31/01/2017,,10:00:00,31/01/2017,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12470,28/01/2017,,10:00:00,28/01/2017,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12469,26/01/2017,,10:00:00,26/01/2017,11:00:00,nar20;jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course C,12468,24/01/2017,,10:00:00,24/01/2017,11:00:00,nar20;jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course D,12480,21/02/2017,,10:00:00,21/02/2017,11:00:00,pam33,Wolfson LT (Chemistry),Lecture,Lectures
b,Course D,12479,18/02/2017,,10:00:00,18/02/2017,11:00:00,pam33,Wolfson LT (Chemistry),Lecture,Lectures
b,Course D,12478,16/02/2017,,10:00:00,16/02/2017,11:00:00,pam33,Wolfson LT (Chemistry),Lecture,Lectures
b,Course D,12477,14/02/2017,,10:00:00,14/02/2017,11:00:00,pam33,Wolfson LT (Chemistry),Lecture,Lectures
b,Course D,12476,11/2/17,,10:00:00,11/2/17,11:00:00,pam33,Wolfson LT (Chemistry),Lecture,Lectures
b,Course D,12475,9/2/17,,10:00:00,9/2/17,11:00:00,pam33,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12485,4/3/17,,10:00:00,4/3/17,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12484,2/3/17,,10:00:00,2/3/17,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12483,28/02/2017,,10:00:00,28/02/2017,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12482,25/02/2017,,10:00:00,25/02/2017,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12481,23/02/2017,,10:00:00,23/02/2017,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12489,14/03/2017,,10:00:00,14/03/2017,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12488,11/3/17,,10:00:00,11/3/17,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12487,9/3/17,,10:00:00,9/3/17,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course E,12486,7/3/17,,10:00:00,7/3/17,11:00:00,nar20,Wolfson LT (Chemistry),Lecture,Lectures
b,Course F,12492,2/5/17,,10:00:00,2/5/17,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course F,12491,27/04/2017,,10:00:00,27/04/2017,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course F,12490,26/04/2017,,10:00:00,26/04/2017,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
b,Course F,12497,11/5/17,,10:00:00,11/5/17,11:00:00,jhg27,Wolfson LT (Chemistry),Lecture,Lectures
