cohort_id,event_description,event_id,event_start_date,day_name,event_start_time,event_end_date,event_end_time,crsid,location_description,event_type,timetable_module
c,C1,12006,22/11/2016,,09:00:00,22/11/2016,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C1,12005,21/11/2016,,09:00:00,21/11/2016,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C1,12004,18/11/2016,,09:00:00,18/11/2016,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C1,12003,15/11/2016,,09:00:00,15/11/2016,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C1,12002,11/11/2016,,09:00:00,11/11/2016,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C1,12001,08/11/2016,,09:00:00,08/11/2016,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C1,12008,23/11/2016,,11:00:00,23/11/2016,13:00:00,jae1001,Goldsmiths 1,Examples Class,Lectures
c,C1,12007,22/11/2016,,11:00:00,22/11/2016,13:00:00,jae1001,Goldsmiths 1,Examples Class,Lectures
c,C10,12017,08/02/2017,,09:00:00,08/02/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12016,06/02/2017,,09:00:00,06/02/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12015,03/02/2017,,09:00:00,03/02/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12014,01/02/2017,,09:00:00,01/02/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12013,30/01/2017,,09:00:00,30/01/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12012,27/01/2017,,09:00:00,27/01/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12011,25/01/2017,,09:00:00,25/01/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12021,15/02/2017,,10:00:00,15/02/2017,12:00:00,jae1001,Goldsmiths 1,Examples Class,Lectures
c,C10,12010,23/01/2017,,09:00:00,23/01/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12020,15/02/2017,,09:00:00,15/02/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
c,C10,12009,19/01/2017,,09:00:00,19/01/2017,10:00:00,jae1001,Goldsmiths 1,Lecture,Lectures
