cohort_id,event_description,event_id,event_start_date,day_name,event_start_time,event_end_date,event_end_time,crsid,location_description,event_type,timetable_module
d,M11,12201,24/10/2016,,09:00:00,24/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12200,21/10/2016,,09:00:00,21/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12199,17/10/2016,,09:00:00,17/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12198,13/10/2016,,09:00:00,13/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12197,11/10/2016,,09:00:00,11/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12195,07/10/2016,,09:00:00,07/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12205,20/10/2016,,09:00:00,20/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12194,06/10/2016,,09:00:00,06/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12312,10/10/2016,,10:00:00,10/10/2016,11:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12204,18/10/2016,,09:00:00,18/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12203,28/10/2016,,09:00:00,28/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M11,12202,26/10/2016,,09:00:00,26/10/2016,10:00:00,jhg27,Goldsmiths 2,Lecture,Lectures
d,M13,12218,21/10/2016,,11:30:00,21/10/2016,12:30:00,sch29,Goldsmiths 2,Lecture,Lectures
d,M13,12217,19/10/2016,,11:30:00,19/10/2016,12:30:00,sch29,Goldsmiths 2,Lecture,Lectures
d,M13,12216,17/10/2016,,11:30:00,17/10/2016,12:30:00,sch29,Goldsmiths 2,Lecture,Lectures
d,M13,12215,13/10/2016,,11:30:00,13/10/2016,12:30:00,sch29,Goldsmiths 2,Lecture,Lectures
d,M13,12212,04/11/2016,,11:30:00,04/11/2016,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M13,12214,12/10/2016,,11:30:00,12/10/2016,12:30:00,sch29,Goldsmiths 2,Lecture,Lectures
d,M13,12211,02/11/2016,,11:30:00,02/11/2016,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M13,12213,10/10/2016,,11:30:00,10/10/2016,12:30:00,sch29,Goldsmiths 2,Lecture,Lectures
d,M13,12210,01/11/2016,,11:30:00,01/11/2016,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M13,12206,28/04/2017,,11:00:00,28/04/2017,13:00:00,sch29,Goldsmiths 2,Examples Class,Lectures
d,M13,12209,28/10/2016,,11:30:00,28/10/2016,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M13,12208,26/10/2016,,11:30:00,26/10/2016,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M13,12207,25/10/2016,,11:30:00,25/10/2016,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M14,12219,17/02/2017,,10:00:00,17/02/2017,11:00:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12229,20/02/2017,,11:30:00,20/02/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12228,07/03/2017,,11:30:00,07/03/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12227,14/03/2017,,11:30:00,14/03/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12226,13/03/2017,,11:30:00,13/03/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12225,10/03/2017,,11:30:00,10/03/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12224,09/03/2017,,11:30:00,09/03/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12223,02/03/2017,,11:30:00,02/03/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12222,01/03/2017,,10:00:00,01/03/2017,11:00:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12221,23/02/2017,,11:30:00,23/02/2017,12:30:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12231,26/04/2017,,11:00:00,26/04/2017,13:00:00,xm212,Goldsmiths 2,Examples Class,Lectures
d,M14,12220,22/02/2017,,10:00:00,22/02/2017,11:00:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M14,12230,28/02/2017,,09:00:00,28/02/2017,10:00:00,xm212,Goldsmiths 2,Lecture,Lectures
d,M15,12235,18/11/2016,,09:00:00,18/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12234,17/11/2016,,09:00:00,17/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12244,27/04/2017,,09:00:00,27/04/2017,11:00:00,cjp20,Goldsmiths 2,Examples Class,Lectures
d,M15,12233,15/11/2016,,09:00:00,15/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12243,08/11/2016,,10:00:00,08/11/2016,11:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12232,10/11/2016,,09:00:00,10/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12242,04/11/2016,,10:00:00,04/11/2016,11:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12241,03/11/2016,,10:00:00,03/11/2016,11:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12240,28/11/2016,,09:00:00,28/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12239,29/11/2016,,09:00:00,29/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12238,25/11/2016,,09:00:00,25/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12237,24/11/2016,,09:00:00,24/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M15,12236,22/11/2016,,09:00:00,22/11/2016,10:00:00,cjp20,Goldsmiths 2,Lecture,Lectures
d,M17,12245,26/04/2017,,09:00:00,26/04/2017,11:00:00,kmk10;if203,Goldsmiths 2,Examples Class,Lectures
d,M17,12246,09/03/2017,,09:00:00,09/03/2017,10:00:00,if203,Goldsmiths 2,Lecture,Lectures
d,M17,12257,06/03/2017,,09:00:00,06/03/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12256,03/03/2017,,09:00:00,03/03/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12255,02/03/2017,,09:00:00,02/03/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12254,01/03/2017,,09:00:00,01/03/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12253,27/02/2017,,09:00:00,27/02/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12252,24/02/2017,,09:00:00,24/02/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12249,14/03/2017,,09:00:00,14/03/2017,10:00:00,if203,Goldsmiths 2,Lecture,Lectures
d,M17,12251,23/02/2017,,09:00:00,23/02/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12250,22/02/2017,,09:00:00,22/02/2017,10:00:00,kmk10,Goldsmiths 2,Lecture,Lectures
d,M17,12248,13/03/2017,,09:00:00,13/03/2017,10:00:00,if203,Goldsmiths 2,Lecture,Lectures
d,M17,12247,08/03/2017,,09:00:00,08/03/2017,10:00:00,if203,Goldsmiths 2,Lecture,Lectures
d,M18,12268,24/02/2017,,11:30:00,24/02/2017,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M18,12264,06/03/2017,,11:30:00,06/03/2017,12:30:00,jjr33,Goldsmiths 2,Lecture,Lectures
d,M18,12267,22/02/2017,,11:30:00,22/02/2017,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M18,12263,08/03/2017,,11:30:00,08/03/2017,12:30:00,jjr33,Goldsmiths 2,Lecture,Lectures
d,M18,12266,16/02/2017,,11:30:00,16/02/2017,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M18,12262,03/03/2017,,11:30:00,03/03/2017,12:30:00,jjr33,Goldsmiths 2,Lecture,Lectures
d,M18,12265,14/02/2017,,11:30:00,14/02/2017,12:30:00,mb52,Goldsmiths 2,Lecture,Lectures
d,M18,12261,01/03/2017,,11:30:00,01/03/2017,12:30:00,jjr33,Goldsmiths 2,Lecture,Lectures
d,M18,12260,28/02/2017,,11:30:00,28/02/2017,12:30:00,jjr33,Goldsmiths 2,Lecture,Lectures
d,M18,12259,27/02/2017,,11:30:00,27/02/2017,12:30:00,jjr33,Goldsmiths 2,Lecture,Lectures
d,M18,12258,03/05/2017,,09:00:00,03/05/2017,11:00:00,jjr33;mb52,Goldsmiths 2,Examples Class,Lectures
